chenglou/react-motion
jwagner/smartcrop.js
xdissent/ievms
browserstate/history.js
nicklockwood/iCarousel
onevcat/Kingfisher
JakeWharton/ViewPagerIndicator
nagadomi/waifu2x
scottjehl/picturefill
godotengine/godot
dzenbot/DZNEmptyDataSet
maxwellito/vivus
crystal-lang/crystal
scala/scala
revel/revel
CosmicMind/Material
stylus/stylus
googlesamples/android-UniversalMusicPlayer
liaohuqiu/android-Ultra-Pull-To-Refresh
Matt-Esch/virtual-dom
FFmpeg/FFmpeg
daimajia/AndroidViewAnimations
phanan/koel
alexjc/neural-doodle
cmusatyalab/openface
elastic/logstash
OpenEmu/OpenEmu
Ramotion/animated-tab-bar
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
lhc70000/iina
mwaterfall/MWPhotoBrowser
apple/swift-evolution
spotify/luigi
danialfarid/ng-file-upload
matthieua/WOW
getgrav/grav
odoo/odoo
nosir/cleave.js
getredash/redash
CoderMJLee/MJExtension
FineUploader/fine-uploader
jp9000/obs-studio
bvaughn/react-virtualized
CEWendel/SWTableViewCell
nlp-compromise/compromise
StevenBlack/hosts
NaturalNode/natural
wasabeef/recyclerview-animators
Laverna/laverna
alexa/alexa-avs-sample-app
chentsulin/electron-react-boilerplate
robertdavidgraham/masscan
metabase/metabase
IBAnimatable/IBAnimatable
clojure/clojure
karpathy/char-rnn
greensock/GreenSock-JS
ether/etherpad-lite
witheve/Eve
aframevr/aframe
Ramotion/folding-cell
derekparker/delve
nfarina/homebridge
IFTTT/JazzHands
mpv-player/mpv
brunch/brunch
lovell/sharp
alibaba/tengine
ageitgey/face_recognition
lokesh/color-thief
insidegui/WWDC
oblador/react-native-vector-icons
cymcsg/UltimateRecyclerView
ory/editor
openalpr/openalpr
kimmobrunfeldt/progressbar.js
fengyuanchen/cropper
Yalantis/uCrop
Shopify/liquid
81813780/AVLoadingIndicatorView
vitalets/x-editable
apple/swift-package-manager
phusion/baseimage-docker
ninjaprox/NVActivityIndicatorView
progit/progit
vuejs/vue-hackernews-2.0
clips/pattern
Intervention/image
owncloud/core
google/google-api-nodejs-client
openframeworks/openFrameworks
explosion/spaCy
coursera-dl/coursera-dl
arut/nginx-rtmp-module
BabylonJS/Babylon.js
koush/ion
mediaelement/mediaelement
callmecavs/layzr.js
schneiderandre/popping
bup/bup
Bigkoo/Android-PickerView
imsky/holder
lhartikk/ArnoldC
Rich-Harris/ramjet
github/linguist
evant/gradle-retrolambda
RaRe-Technologies/gensim
zhihu/Matisse
square/otto
facebook/react-vr
nuysoft/Mock
lecho/hellocharts-android
eggjs/egg
lipangit/JiaoZiVideoPlayer
rzwitserloot/lombok
mattboldt/typed.js
twitter/hogan.js
meili/TeamTalk
svgdotjs/svg.js
wagtail/wagtail
cloudson/gitql
deployphp/deployer
claritylab/lucida
mortenjust/androidtool-mac
tinymce/tinymce
wasabeef/glide-transformations
draios/sysdig
daimajia/AndroidImageSlider
davatron5000/FitVids.js
sparklemotion/nokogiri
a1studmuffin/SpaceshipGenerator
moxiecode/plupload
JakeLin/SwiftWeather
jeromeetienne/AR.js
