id,name,full_name,,repo_name,created_at,updated_at,pushed_at,stargazers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,Commit,Branch,Release,Contributor,License,owner_id,owner_login,location
56966563,gpustat,wookayin,gpustat,wookayin/gpustat,2016-04-24T10:46:43Z,2017-09-10T16:32:23Z,2017-09-11T00:39:50Z,383,TRUE,TRUE,TRUE,TRUE,FALSE,50,,10,73,3,4,3,MIT,,,Korea
36265972,Android-LockScreenSample-DisableHomeButtonKey,mugku,Android-LockScreenSample-DisableHomeButtonKey,mugku/Android-LockScreenSample-DisableHomeButtonKey,2015-05-26T02:08:42Z,2017-09-06T16:22:51Z,2017-06-22T03:00:47Z,368,TRUE,TRUE,TRUE,TRUE,FALSE,117,,2,50,1,0,3,Apache-2.0,,,Korea
61382500,tensorflow-talk-debugging,wookayin,tensorflow-talk-debugging,wookayin/tensorflow-talk-debugging,2016-06-17T15:09:26Z,2017-09-07T16:49:40Z,2017-02-18T16:52:30Z,354,TRUE,TRUE,TRUE,TRUE,TRUE,85,,3,19,1,0,1,GPL-3.0,,,Korea
11448592,django-summernote,summernote,django-summernote,summernote/django-summernote,2013-07-16T12:07:21Z,2017-09-10T15:35:29Z,2017-09-10T04:27:57Z,353,TRUE,TRUE,TRUE,TRUE,FALSE,97,,35,374,4,29,39,MIT,,,Korea
35147993,CocoaSeeds,devxoul,CocoaSeeds,devxoul/CocoaSeeds,2015-05-06T08:31:21Z,2017-08-30T19:55:45Z,2017-02-15T17:45:51Z,340,TRUE,TRUE,TRUE,TRUE,FALSE,17,,8,200,1,32,8,MIT,,,Korea
73980540,tensorflow-exercises,Kyubyong,tensorflow-exercises,Kyubyong/tensorflow-exercises,2016-11-17T02:07:52Z,2017-09-09T04:28:26Z,2017-08-29T13:37:44Z,333,TRUE,TRUE,TRUE,TRUE,FALSE,113,,1,53,1,0,3,Apache-2.0,,,Korea
5433677,libsass-python,dahlia,libsass-python,dahlia/libsass-python,2012-08-16T01:31:33Z,2017-09-06T14:33:56Z,2017-09-06T14:33:16Z,332,TRUE,FALSE,TRUE,FALSE,TRUE,31,,10,2339,2,39,12,MIT,,,Korea
84079834,ColorPickerView,skydoves,ColorPickerView,skydoves/ColorPickerView,2017-03-06T14:01:27Z,2017-09-07T13:27:09Z,2017-08-08T05:24:03Z,319,TRUE,TRUE,TRUE,TRUE,FALSE,47,,2,21,1,0,3,Apache-2.0,,,Korea
88967109,URWeatherView,jegumhon,URWeatherView,jegumhon/URWeatherView,2017-04-21T09:28:48Z,2017-09-11T02:11:09Z,2017-08-25T07:48:43Z,319,TRUE,TRUE,TRUE,TRUE,FALSE,18,,0,141,6,19,1,MIT,,,Korea
14222962,axisj,thomasJang,axisj,thomasJang/axisj,2013-11-08T03:29:19Z,2017-08-08T14:57:48Z,2017-07-17T12:42:29Z,315,TRUE,TRUE,TRUE,TRUE,TRUE,92,,146,1351,4,41,4,LGPL-2.1,,,Korea
74871410,terjira,keepcosmos,terjira,keepcosmos/terjira,2016-11-27T06:27:23Z,2017-09-04T22:24:39Z,2017-09-04T01:56:10Z,314,TRUE,TRUE,TRUE,TRUE,FALSE,10,,8,100,3,6,28,MIT,,,Korea
